,id,title,abstract,categories,title_abstract
414,0704.0415,Coulomb blockade of field emission from nanoscale conductors,"  Theoretical description of the field emission of electrons from nanoscale
objects weakly coupled to the cathode is presented. It is shown that the field-
emission current increases in a step-like fashion due to single-electron
charging which leads to abrupt changes of the effective electric field
responsible for the field emission. A detailed consideration of the
current-voltage characteristics is carried out for a nanocluster modelled by a
metallic spherical particle in the close vicinity of the cathode and for a
cylindrical silicon nanowire grown on the cathode surface.
",cond-mat.mes-hall,"Coulomb blockade of field emission from nanoscale conductors   Theoretical description of the field emission of electrons from nanoscale
objects weakly coupled to the cathode is presented. It is shown that the field-
emission current increases in a step-like fashion due to single-electron
charging which leads to abrupt changes of the effective electric field
responsible for the field emission. A detailed consideration of the
current-voltage characteristics is carried out for a nanocluster modelled by a
metallic spherical particle in the close vicinity of the cathode and for a
cylindrical silicon nanowire grown on the cathode surface.
"
505,0704.0506,Dimensional crossover of quantum critical behavior in CeCoIn$_5$,"  The nature of quantum criticality in CeCoIn$_5$ is studied by low-temperature
thermal expansion $\alpha(T)$. At the field-induced quantum critical point at
H=5 T a crossover scale $T^\star\approx 0.3$ K is observed, separating
$\alpha(T)/T\propto T^{-1}$ from a weaker $T^{-1/2}$ divergence. We ascribe
this change to a crossover in the dimensionality of the critical fluctuations
which may be coupled to a change from unconventional to conventional quantum
criticality. Disorder, whose effect on quantum criticality is studied in
CeCoIn$_{5-x}$Sn$_x$ ($0\leq x\leq 0.18$), shifts $T^\star$ towards higher
temperatures.
",cond-mat.str-el,"Dimensional crossover of quantum critical behavior in CeCoIn$_5$   The nature of quantum criticality in CeCoIn$_5$ is studied by low-temperature
thermal expansion $\alpha(T)$. At the field-induced quantum critical point at
H=5 T a crossover scale $T^\star\approx 0.3$ K is observed, separating
$\alpha(T)/T\propto T^{-1}$ from a weaker $T^{-1/2}$ divergence. We ascribe
this change to a crossover in the dimensionality of the critical fluctuations
which may be coupled to a change from unconventional to conventional quantum
criticality. Disorder, whose effect on quantum criticality is studied in
CeCoIn$_{5-x}$Sn$_x$ ($0\leq x\leq 0.18$), shifts $T^\star$ towards higher
temperatures.
"
29,0704.0030,Tuning correlation effects with electron-phonon interactions,"  We investigate the effect of tuning the phonon energy on the correlation
effects in models of electron-phonon interactions using DMFT. In the regime
where itinerant electrons, instantaneous electron-phonon driven correlations
and static distortions compete on similar energy scales, we find several
interesting results including (1) A crossover from band to Mott behavior in the
spectral function, leading to hybrid band/Mott features in the spectral
function for phonon frequencies slightly larger than the band width. (2) Since
the optical conductivity depends sensitively on the form of the spectral
function, we show that such a regime should be observable through the low
frequency form of the optical conductivity. (3) The resistivity has a double
kondo peak arrangement
",cond-mat.str-el,"Tuning correlation effects with electron-phonon interactions   We investigate the effect of tuning the phonon energy on the correlation
effects in models of electron-phonon interactions using DMFT. In the regime
where itinerant electrons, instantaneous electron-phonon driven correlations
and static distortions compete on similar energy scales, we find several
interesting results including (1) A crossover from band to Mott behavior in the
spectral function, leading to hybrid band/Mott features in the spectral
function for phonon frequencies slightly larger than the band width. (2) Since
the optical conductivity depends sensitively on the form of the spectral
function, we show that such a regime should be observable through the low
frequency form of the optical conductivity. (3) The resistivity has a double
kondo peak arrangement
"
187,0704.0188,Biased random walks on combs,"  We develop rigorous, analytic techniques to study the behaviour of biased
random walks on combs. This enables us to calculate exactly the spectral
dimension of random comb ensembles for any bias scenario in the teeth or spine.
Two specific examples of random comb ensembles are discussed; the random comb
with nonzero probability of an infinitely long tooth at each vertex on the
spine and the random comb with a power law distribution of tooth lengths. We
also analyze transport properties along the spine for these probability
measures.
",cond-mat.other,"Biased random walks on combs   We develop rigorous, analytic techniques to study the behaviour of biased
random walks on combs. This enables us to calculate exactly the spectral
dimension of random comb ensembles for any bias scenario in the teeth or spine.
Two specific examples of random comb ensembles are discussed; the random comb
with nonzero probability of an infinitely long tooth at each vertex on the
spine and the random comb with a power law distribution of tooth lengths. We
also analyze transport properties along the spine for these probability
measures.
"
384,0704.0385,Super-shell structures and pairing in ultracold trapped Fermi gases,"  We calculate level densities and pairing gaps for an ultracold dilute gas of
fermionic atoms in harmonic traps under the influence of mean field and
anharmonic quartic trap potentials. Super-shell structures, which were found in
Hartree-Fock calculations, are calculated analytically within periodic orbit
theory as well as from WKB calculations. For attractive interactions, the
underlying level densities are crucial for pairing and super-shell structures
in gaps are predicted.
",cond-mat.other,"Super-shell structures and pairing in ultracold trapped Fermi gases   We calculate level densities and pairing gaps for an ultracold dilute gas of
fermionic atoms in harmonic traps under the influence of mean field and
anharmonic quartic trap potentials. Super-shell structures, which were found in
Hartree-Fock calculations, are calculated analytically within periodic orbit
theory as well as from WKB calculations. For attractive interactions, the
underlying level densities are crucial for pairing and super-shell structures
in gaps are predicted.
"
722,0704.0723,"Coupled electron and phonon transport in one-dimensional atomic
  junctions","  Employing the nonequilibrium Green's function method, we develop a fully
quantum mechanical model to study the coupled electron-phonon transport in
one-dimensional atomic junctions in the presence of a weak electron-phonon
interaction. This model enables us to study the electronic and phononic
transport on an equal footing. We derive the electrical and energy currents of
the coupled electron-phonon system and the energy exchange between them. As an
application, we study the heat dissipation in current carrying atomic junctions
within the self-consistent Born approximation, which guarantees energy current
conservation. We find that the inclusion of phonon transport is important in
determining the heat dissipation and temperature change of the atomic
junctions.
",cond-mat.mes-hall,"Coupled electron and phonon transport in one-dimensional atomic
  junctions   Employing the nonequilibrium Green's function method, we develop a fully
quantum mechanical model to study the coupled electron-phonon transport in
one-dimensional atomic junctions in the presence of a weak electron-phonon
interaction. This model enables us to study the electronic and phononic
transport on an equal footing. We derive the electrical and energy currents of
the coupled electron-phonon system and the energy exchange between them. As an
application, we study the heat dissipation in current carrying atomic junctions
within the self-consistent Born approximation, which guarantees energy current
conservation. We find that the inclusion of phonon transport is important in
determining the heat dissipation and temperature change of the atomic
junctions.
"
232,0704.0233,"Many-body interband tunneling as a witness for complex dynamics in the
  Bose-Hubbard model","  A perturbative model is studied for the tunneling of many-particle states
from the ground band to the first excited energy band, mimicking Landau-Zener
decay for ultracold, spinless atoms in quasi-one dimensional optical lattices
subjected to a tunable tilting force. The distributions of the computed
tunneling rates provide an independent and experimentally accessible signature
of the regular-chaotic transition in the strongly correlated many-body dynamics
of the ground band.
",cond-mat.other,"Many-body interband tunneling as a witness for complex dynamics in the
  Bose-Hubbard model   A perturbative model is studied for the tunneling of many-particle states
from the ground band to the first excited energy band, mimicking Landau-Zener
decay for ultracold, spinless atoms in quasi-one dimensional optical lattices
subjected to a tunable tilting force. The distributions of the computed
tunneling rates provide an independent and experimentally accessible signature
of the regular-chaotic transition in the strongly correlated many-body dynamics
of the ground band.
"
446,0704.0447,Manipulating the rotational properties of a two-component Bose gas,"  A rotating, two-component Bose-Einstein condensate is shown to exhibit
vortices of multiple quantization, which are possible due to the interatomic
interactions between the two species. Also, persistent currents are absent in
this system. Finally, the order parameter has a very simple structure for a
range of angular momenta.
",cond-mat.mes-hall,"Manipulating the rotational properties of a two-component Bose gas   A rotating, two-component Bose-Einstein condensate is shown to exhibit
vortices of multiple quantization, which are possible due to the interatomic
interactions between the two species. Also, persistent currents are absent in
this system. Finally, the order parameter has a very simple structure for a
range of angular momenta.
"
764,0704.0765,"Evidence of Spatially Inhomogeous Pairing on the Insulating Side of a
  Disorder-Tuned Superconductor-Insulator Transition","  Measurements of transport properties of amorphous insulating indium oxide
thin films have been interpreted as evidence of the presence of superconducting
islands on the insulating side of a disorder-tuned superconductor-insulator
transition. Although the films are not granular, the behavior is similar to
that observed in granular films. The results support theoretical models in
which the destruction of superconductivity by disorder produces spatially
inhomogenous pairing with a spectral gap.
",cond-mat.supr-con,"Evidence of Spatially Inhomogeous Pairing on the Insulating Side of a
  Disorder-Tuned Superconductor-Insulator Transition   Measurements of transport properties of amorphous insulating indium oxide
thin films have been interpreted as evidence of the presence of superconducting
islands on the insulating side of a disorder-tuned superconductor-insulator
transition. Although the films are not granular, the behavior is similar to
that observed in granular films. The results support theoretical models in
which the destruction of superconductivity by disorder produces spatially
inhomogenous pairing with a spectral gap.
"
1527,0704.1528,"Extremely strong-coupling superconductivity and anomalous lattice
  properties in the beta-pyrochlore oxide KOs2O6","  Superconducting and normal-state properties of the beta-pyrochlore oxide
KOs2O6 are studied by means of thermodynamic and transport measurements. It is
shown that the superconductivity is of conventional s-wave type and lies in the
extremely strong-coupling regime. Specific heat and resistivity measurements
reveal that there are characteristic low-energy phonons that give rise to
unusual scattering of carriers due to strong electron-phonon interactions. The
entity of the low-energy phonons is ascribed to the heavy rattling of the K ion
confined in an oversized cage made of OsO6 octahedra. It is suggested that this
electron-rattler coupling mediates the Cooper pairing, resulting in the
extremely strong-coupling superconductivity.
",cond-mat.supr-con,"Extremely strong-coupling superconductivity and anomalous lattice
  properties in the beta-pyrochlore oxide KOs2O6   Superconducting and normal-state properties of the beta-pyrochlore oxide
KOs2O6 are studied by means of thermodynamic and transport measurements. It is
shown that the superconductivity is of conventional s-wave type and lies in the
extremely strong-coupling regime. Specific heat and resistivity measurements
reveal that there are characteristic low-energy phonons that give rise to
unusual scattering of carriers due to strong electron-phonon interactions. The
entity of the low-energy phonons is ascribed to the heavy rattling of the K ion
confined in an oversized cage made of OsO6 octahedra. It is suggested that this
electron-rattler coupling mediates the Cooper pairing, resulting in the
extremely strong-coupling superconductivity.
"
1734,0704.1735,Calorimetry of Bose-Einstein condensates,"  We outline a practical scheme for measuring the thermodynamic properties of a
Bose-Einstein condensate as a function of internal energy. We propose using
Bragg scattering and controlled trap manipulations to impart a precise amount
of energy to a near zero temperature condensate. After thermalisation the
temperature can be measured using standard techniques to determine the state
equation $T(U,N,\omega)$. Our analysis accounts for interaction effects and the
excitation of constants of motion which restrict the energy available for
thermalisation.
",cond-mat.other,"Calorimetry of Bose-Einstein condensates   We outline a practical scheme for measuring the thermodynamic properties of a
Bose-Einstein condensate as a function of internal energy. We propose using
Bragg scattering and controlled trap manipulations to impart a precise amount
of energy to a near zero temperature condensate. After thermalisation the
temperature can be measured using standard techniques to determine the state
equation $T(U,N,\omega)$. Our analysis accounts for interaction effects and the
excitation of constants of motion which restrict the energy available for
thermalisation.
"
369,0704.0370,"Shaped angular dependence of the spin transfer torque and microwave
  generation without magnetic field","  The generation of oscillations in the microwave frequency range is one of the
most important applications expected from spintronics devices exploiting the
spin transfer phenomenon. We report transport and microwave power measurements
on specially designed nanopillars for which a non-standard angular dependence
of the spin transfer torque (wavy variation) is predicted by theoretical
models. We observe a new kind of current-induced dynamics that is characterized
by large angle precessions in the absence of any applied field, as this is also
predicted by simulation with such a wavy angular dependence of the torque. This
type of non-standard nanopillars can represent an interesting way for the
implementation of spin transfer oscillators since they are able to generate
microwave oscillations without applied magnetic field. We also emphasize the
theoretical implications of our results on the angular dependence of the
torque.
",cond-mat.mtrl-sci,"Shaped angular dependence of the spin transfer torque and microwave
  generation without magnetic field   The generation of oscillations in the microwave frequency range is one of the
most important applications expected from spintronics devices exploiting the
spin transfer phenomenon. We report transport and microwave power measurements
on specially designed nanopillars for which a non-standard angular dependence
of the spin transfer torque (wavy variation) is predicted by theoretical
models. We observe a new kind of current-induced dynamics that is characterized
by large angle precessions in the absence of any applied field, as this is also
predicted by simulation with such a wavy angular dependence of the torque. This
type of non-standard nanopillars can represent an interesting way for the
implementation of spin transfer oscillators since they are able to generate
microwave oscillations without applied magnetic field. We also emphasize the
theoretical implications of our results on the angular dependence of the
torque.
"
145,0704.0146,Vortices in Bose-Einstein Condensates: Theory,"  Vortices are pervasive in nature, representing the breakdown of laminar fluid
flow and hence playing a key role in turbulence. The fluid rotation associated
with a vortex can be parameterized by the circulation $\Gamma=\oint {\rm d}{\bf
r}\cdot{\bf v}({\bf r})$ about the vortex, where ${\bf v}({\bf r})$ is the
fluid velocity field. While classical vortices can take any value of
circulation, superfluids are irrotational, and any rotation or angular momentum
is constrained to occur through vortices with quantized circulation. Quantized
vortices also play a key role in the dissipation of transport in superfluids.
In BECs quantized vortices have been observed in several forms, including
single vortices, vortex lattices, and vortex pairs and rings. The recent
observation of quantized vortices in a fermionic gas was taken as a clear
signature of the underlying condensation and superfluidity of fermion pairs. In
addition to BECs, quantized vortices also occur in superfluid Helium, nonlinear
optics, and type-II superconductors.
",cond-mat.other,"Vortices in Bose-Einstein Condensates: Theory   Vortices are pervasive in nature, representing the breakdown of laminar fluid
flow and hence playing a key role in turbulence. The fluid rotation associated
with a vortex can be parameterized by the circulation $\Gamma=\oint {\rm d}{\bf
r}\cdot{\bf v}({\bf r})$ about the vortex, where ${\bf v}({\bf r})$ is the
fluid velocity field. While classical vortices can take any value of
circulation, superfluids are irrotational, and any rotation or angular momentum
is constrained to occur through vortices with quantized circulation. Quantized
vortices also play a key role in the dissipation of transport in superfluids.
In BECs quantized vortices have been observed in several forms, including
single vortices, vortex lattices, and vortex pairs and rings. The recent
observation of quantized vortices in a fermionic gas was taken as a clear
signature of the underlying condensation and superfluidity of fermion pairs. In
addition to BECs, quantized vortices also occur in superfluid Helium, nonlinear
optics, and type-II superconductors.
"
590,0704.0591,"Quantum criticality and disorder in the antiferromagnetic critical point
  of NiS$_{2}$ pyrite","  A quantum critical point (QCP) between the antiferromagnetic and the
paramagnetic phases was realized by applying a hydrostatic pressure of ~ 7 GPa
on single crystals of NiS_{2} pyrite with a low residual resistivity, rho_{0},
of 0.5 mu-Omega-cm. We found that the critical behavior of the resistivity,
rho, in this clean system contrasts sharply with those observed in its
disordered analogue, NiS_{2-x}Se_{x} solid-solution, demonstrating the
unexpectedly drastic effect of disorder on the quantum criticality. Over a
whole paramagnetic region investigated up to P = 9 GPa, a crossover
temperature, defined as the onset of T^{2} dependence of rho, an indication of
Fermi liquid, was suppressed to a substantially low temperature T sim 2 K and,
instead, a non Fermi liquid behavior of rho, T^{3/2}-dependence, robustly
showed up.
",cond-mat.str-el,"Quantum criticality and disorder in the antiferromagnetic critical point
  of NiS$_{2}$ pyrite   A quantum critical point (QCP) between the antiferromagnetic and the
paramagnetic phases was realized by applying a hydrostatic pressure of ~ 7 GPa
on single crystals of NiS_{2} pyrite with a low residual resistivity, rho_{0},
of 0.5 mu-Omega-cm. We found that the critical behavior of the resistivity,
rho, in this clean system contrasts sharply with those observed in its
disordered analogue, NiS_{2-x}Se_{x} solid-solution, demonstrating the
unexpectedly drastic effect of disorder on the quantum criticality. Over a
whole paramagnetic region investigated up to P = 9 GPa, a crossover
temperature, defined as the onset of T^{2} dependence of rho, an indication of
Fermi liquid, was suppressed to a substantially low temperature T sim 2 K and,
instead, a non Fermi liquid behavior of rho, T^{3/2}-dependence, robustly
showed up.
"
215,0704.0216,Ab initio Study of Graphene on SiC,"  Employing density-functional calculations we study single and double graphene
layers on Si- and C-terminated 1x1-6H-SiC surfaces. We show that, in contrast
to earlier assumptions, the first carbon layer is covalently bonded to the
substrate, and cannot be responsible for the graphene-type electronic spectrum
observed experimentally. The characteristic spectrum of free-standing graphene
appears with the second carbon layer, which exhibits a weak van der Waals
bonding to the underlying structure. For Si-terminated substrate, the interface
is metallic, whereas on C-face it is semiconducting or semimetallic for single
or double graphene coverage, respectively.
",cond-mat.mtrl-sci,"Ab initio Study of Graphene on SiC   Employing density-functional calculations we study single and double graphene
layers on Si- and C-terminated 1x1-6H-SiC surfaces. We show that, in contrast
to earlier assumptions, the first carbon layer is covalently bonded to the
substrate, and cannot be responsible for the graphene-type electronic spectrum
observed experimentally. The characteristic spectrum of free-standing graphene
appears with the second carbon layer, which exhibits a weak van der Waals
bonding to the underlying structure. For Si-terminated substrate, the interface
is metallic, whereas on C-face it is semiconducting or semimetallic for single
or double graphene coverage, respectively.
"
1619,0704.1620,"Intramolecular long-range correlations in polymer melts: The segmental
  size distribution and its moments","  Presenting theoretical arguments and numerical results we demonstrate
long-range intrachain correlations in concentrated solutions and melts of long
flexible polymers which cause a systematic swelling of short chain segments.
They can be traced back to the incompressibility of the melt leading to an
effective repulsion $u(s) \approx s/\rho R^3(s) \approx ce/\sqrt{s}$ when
connecting two segments together where $s$ denotes the curvilinear length of a
segment, $R(s)$ its typical size, $ce \approx 1/\rho be^3$ the ``swelling
coefficient"", $be$ the effective bond length and $\rho$ the monomer density.
The relative deviation of the segmental size distribution from the ideal
Gaussian chain behavior is found to be proportional to $u(s)$. The analysis of
different moments of this distribution allows for a precise determination of
the effective bond length $be$ and the swelling coefficient $ce$ of
asymptotically long chains. At striking variance to the short-range decay
suggested by Flory's ideality hypothesis the bond-bond correlation function of
two bonds separated by $s$ monomers along the chain is found to decay
algebraically as $1/s^{3/2}$. Effects of finite chain length are considered
briefly.
",cond-mat.soft,"Intramolecular long-range correlations in polymer melts: The segmental
  size distribution and its moments   Presenting theoretical arguments and numerical results we demonstrate
long-range intrachain correlations in concentrated solutions and melts of long
flexible polymers which cause a systematic swelling of short chain segments.
They can be traced back to the incompressibility of the melt leading to an
effective repulsion $u(s) \approx s/\rho R^3(s) \approx ce/\sqrt{s}$ when
connecting two segments together where $s$ denotes the curvilinear length of a
segment, $R(s)$ its typical size, $ce \approx 1/\rho be^3$ the ``swelling
coefficient"", $be$ the effective bond length and $\rho$ the monomer density.
The relative deviation of the segmental size distribution from the ideal
Gaussian chain behavior is found to be proportional to $u(s)$. The analysis of
different moments of this distribution allows for a precise determination of
the effective bond length $be$ and the swelling coefficient $ce$ of
asymptotically long chains. At striking variance to the short-range decay
suggested by Flory's ideality hypothesis the bond-bond correlation function of
two bonds separated by $s$ monomers along the chain is found to decay
algebraically as $1/s^{3/2}$. Effects of finite chain length are considered
briefly.
"
2210,0704.2211,"Electronic Transport in the Oxygen Deficient Ferromagnetic
  Semiconducting TiO$_{2-\delta}$","  TiO$_{2-\delta}$ films were deposited on (100) Lanthanum aluminates
LaAlO$_{3}$ substrates at a very low oxygen chamber pressure $P\approx 0.3$
mtorr employing a pulsed laser ablation deposition technique. In previous work,
it was established that the oxygen deficiency in these films induced
ferromagnetism. In this work it is demonstrated that this same oxygen
deficiency also gives rise to semiconductor titanium ion impurity donor energy
levels. Transport resistivity measurements in thin films of TiO$_{2-\delta}$
are presented as a function of temperature and magnetic field. Magneto- and
Hall- resistivity is explained in terms of electronic excitations from the
titanium ion donor levels into the conduction band.
",cond-mat.other,"Electronic Transport in the Oxygen Deficient Ferromagnetic
  Semiconducting TiO$_{2-\delta}$   TiO$_{2-\delta}$ films were deposited on (100) Lanthanum aluminates
LaAlO$_{3}$ substrates at a very low oxygen chamber pressure $P\approx 0.3$
mtorr employing a pulsed laser ablation deposition technique. In previous work,
it was established that the oxygen deficiency in these films induced
ferromagnetism. In this work it is demonstrated that this same oxygen
deficiency also gives rise to semiconductor titanium ion impurity donor energy
levels. Transport resistivity measurements in thin films of TiO$_{2-\delta}$
are presented as a function of temperature and magnetic field. Magneto- and
Hall- resistivity is explained in terms of electronic excitations from the
titanium ion donor levels into the conduction band.
"
232,0704.0233,"Many-body interband tunneling as a witness for complex dynamics in the
  Bose-Hubbard model","  A perturbative model is studied for the tunneling of many-particle states
from the ground band to the first excited energy band, mimicking Landau-Zener
decay for ultracold, spinless atoms in quasi-one dimensional optical lattices
subjected to a tunable tilting force. The distributions of the computed
tunneling rates provide an independent and experimentally accessible signature
of the regular-chaotic transition in the strongly correlated many-body dynamics
of the ground band.
",cond-mat.other,"Many-body interband tunneling as a witness for complex dynamics in the
  Bose-Hubbard model   A perturbative model is studied for the tunneling of many-particle states
from the ground band to the first excited energy band, mimicking Landau-Zener
decay for ultracold, spinless atoms in quasi-one dimensional optical lattices
subjected to a tunable tilting force. The distributions of the computed
tunneling rates provide an independent and experimentally accessible signature
of the regular-chaotic transition in the strongly correlated many-body dynamics
of the ground band.
"
5622,0705.1620,"Comment on ""Structure factors of harmonic and anharmonic Fibonacci
  chains by molecular dynamics simulations""","  Recently, Engel et al. discussed phonon broadening as observed in 3D
quasicrystals on the basis of calculations on the Fibonacci chain. We show that
the paper contains several statements and assumptions that are contradicted by
factual truth.
",cond-mat.dis-nn,"Comment on ""Structure factors of harmonic and anharmonic Fibonacci
  chains by molecular dynamics simulations""   Recently, Engel et al. discussed phonon broadening as observed in 3D
quasicrystals on the basis of calculations on the Fibonacci chain. We show that
the paper contains several statements and assumptions that are contradicted by
factual truth.
"
1412,0704.1413,"Preparation and detection of magnetic quantum phases in optical
  superlattices","  We describe a novel approach to prepare, detect and characterize magnetic
quantum phases in ultra-cold spinor atoms loaded in optical superlattices. Our
technique makes use of singlet-triplet spin manipulations in an array of
isolated double well potentials in analogy to recently demonstrated quantum
control in semiconductor quantum dots. We also discuss the many-body
singlet-triplet spin dynamics arising from coherent coupling between nearest
neighbor double wells and derive an effective description for such system. We
use it to study the generation of complex magnetic states by adiabatic and
non-equilibrium dynamics.
",cond-mat.other,"Preparation and detection of magnetic quantum phases in optical
  superlattices   We describe a novel approach to prepare, detect and characterize magnetic
quantum phases in ultra-cold spinor atoms loaded in optical superlattices. Our
technique makes use of singlet-triplet spin manipulations in an array of
isolated double well potentials in analogy to recently demonstrated quantum
control in semiconductor quantum dots. We also discuss the many-body
singlet-triplet spin dynamics arising from coherent coupling between nearest
neighbor double wells and derive an effective description for such system. We
use it to study the generation of complex magnetic states by adiabatic and
non-equilibrium dynamics.
"
182,0704.0183,"Temperature Dependence of the Tensile Properties of Single Walled Carbon
  Nanotubes: O(N) Tight Binding MD Simulation","  This paper examines the effect of temperature on the structural stability and
mechanical properties of 20 layered (10,10) single walled carbon nanotubes
(SWCNTs) under tensile loading using an O(N) tight binding molecular dynamics
(TBMD) simulation method. We observed that (10,10) tube can sustain its
structural stability for the strain values of 0.23 in elongation and 0.06 in
compression at 300K. Bond breaking strain value decreases with increasing
temperature under streching but not under compression. The elastic limit,
Young's modulus, tensile strength and Poisson ratio are calculated as 0.10,
0.395 TPa, 83.23 GPa, 0.285, respectively, at 300K. In the temperature range
from 300K to 900K; Young's modulus and the tensile strengths are decreasing
with increasing temperature while the Poisson ratio is increasing. At higher
temperatures, Young's modulus starts to increase while the Poisson ratio and
tensile strength decrease. In the temperature range from 1200K to 1800K, the
SWCNT is already deformed and softened. Applying strain on these deformed and
softened SWCNTs do not follow the same pattern as in the temperature range of
300K to 900K.
",cond-mat.mtrl-sci,"Temperature Dependence of the Tensile Properties of Single Walled Carbon
  Nanotubes: O(N) Tight Binding MD Simulation   This paper examines the effect of temperature on the structural stability and
mechanical properties of 20 layered (10,10) single walled carbon nanotubes
(SWCNTs) under tensile loading using an O(N) tight binding molecular dynamics
(TBMD) simulation method. We observed that (10,10) tube can sustain its
structural stability for the strain values of 0.23 in elongation and 0.06 in
compression at 300K. Bond breaking strain value decreases with increasing
temperature under streching but not under compression. The elastic limit,
Young's modulus, tensile strength and Poisson ratio are calculated as 0.10,
0.395 TPa, 83.23 GPa, 0.285, respectively, at 300K. In the temperature range
from 300K to 900K; Young's modulus and the tensile strengths are decreasing
with increasing temperature while the Poisson ratio is increasing. At higher
temperatures, Young's modulus starts to increase while the Poisson ratio and
tensile strength decrease. In the temperature range from 1200K to 1800K, the
SWCNT is already deformed and softened. Applying strain on these deformed and
softened SWCNTs do not follow the same pattern as in the temperature range of
300K to 900K.
"
118,0704.0119,"Quasi-quartet crystal electric field ground state in a tetragonal
  CeAg$_2$Ge$_2$ single crystal","  We have successfully grown the single crystals of CeAg$_2$Ge$_2$, for the
first time, by flux method and studied the anisotropic physical properties by
measuring the electrical resistivity, magnetic susceptibility and specific
heat. We found that CeAg$_2$Ge$_2$ undergoes an antiferromagnetic transition at
$T_{\rm N}$ = 4.6 K. The electrical resistivity and susceptibility data reveal
strong anisotropic magnetic properties. The magnetization measured at $T$ = 2 K
exhibited two metamagnetic transitions at $H_{\rm m1}$ = 31 kOe and $H_{\rm
m2}$ = 44.7 kOe, for $H \parallel$ [100] with a saturation magnetization of 1.6
$\mu_{\rm B}$/Ce. The crystalline electric field (CEF) analysis of the inverse
susceptibility data reveals that the ground state and the first excited states
of CeAg$_2$Ge$_2$ are closely spaced indicating a quasi-quartet ground state.
The specific heat data lend further support to the presence of closely spaced
energy levels.
",cond-mat.str-el,"Quasi-quartet crystal electric field ground state in a tetragonal
  CeAg$_2$Ge$_2$ single crystal   We have successfully grown the single crystals of CeAg$_2$Ge$_2$, for the
first time, by flux method and studied the anisotropic physical properties by
measuring the electrical resistivity, magnetic susceptibility and specific
heat. We found that CeAg$_2$Ge$_2$ undergoes an antiferromagnetic transition at
$T_{\rm N}$ = 4.6 K. The electrical resistivity and susceptibility data reveal
strong anisotropic magnetic properties. The magnetization measured at $T$ = 2 K
exhibited two metamagnetic transitions at $H_{\rm m1}$ = 31 kOe and $H_{\rm
m2}$ = 44.7 kOe, for $H \parallel$ [100] with a saturation magnetization of 1.6
$\mu_{\rm B}$/Ce. The crystalline electric field (CEF) analysis of the inverse
susceptibility data reveals that the ground state and the first excited states
of CeAg$_2$Ge$_2$ are closely spaced indicating a quasi-quartet ground state.
The specific heat data lend further support to the presence of closely spaced
energy levels.
"
1970,0704.1971,Dissipative dynamics of superfluid vortices at non-zero temperatures,"  We consider the evolution and dissipation of vortex rings in a condensate at
non-zero temperature, in the context of the classical field approximation,
based on the defocusing nonlinear Schr\""odinger equation. The temperature in
such a system is fully determined by the total number density and the number
density of the condensate. A vortex ring is introduced into a condensate in a
state of thermal equilibrium, and interacts with non-condensed particles. These
interactions lead to a gradual decrease in the vortex line density, until the
vortex ring completely disappears. We show that the square of the vortex line
length changes linearly with time, and obtain the corresponding universal decay
law. We relate this to mutual friction coefficients in the fundamental equation
of vortex motion in superfluids.
",cond-mat.soft,"Dissipative dynamics of superfluid vortices at non-zero temperatures   We consider the evolution and dissipation of vortex rings in a condensate at
non-zero temperature, in the context of the classical field approximation,
based on the defocusing nonlinear Schr\""odinger equation. The temperature in
such a system is fully determined by the total number density and the number
density of the condensate. A vortex ring is introduced into a condensate in a
state of thermal equilibrium, and interacts with non-condensed particles. These
interactions lead to a gradual decrease in the vortex line density, until the
vortex ring completely disappears. We show that the square of the vortex line
length changes linearly with time, and obtain the corresponding universal decay
law. We relate this to mutual friction coefficients in the fundamental equation
of vortex motion in superfluids.
"
184,0704.0185,Potfit: effective potentials from ab-initio data,"  We present a program called potfit which generates an effective atomic
interaction potential by matching it to a set of reference data computed in
first-principles calculations. It thus allows to perform large-scale atomistic
simulations of materials with physically justified potentials. We describe the
fundamental principles behind the program, emphasizing its flexibility in
adapting to different systems and potential models, while also discussing its
limitations. The program has been used successfully in creating effective
potentials for a number of complex intermetallic alloys, notably quasicrystals.
",cond-mat.mtrl-sci,"Potfit: effective potentials from ab-initio data   We present a program called potfit which generates an effective atomic
interaction potential by matching it to a set of reference data computed in
first-principles calculations. It thus allows to perform large-scale atomistic
simulations of materials with physically justified potentials. We describe the
fundamental principles behind the program, emphasizing its flexibility in
adapting to different systems and potential models, while also discussing its
limitations. The program has been used successfully in creating effective
potentials for a number of complex intermetallic alloys, notably quasicrystals.
"
